,Unnamed: 0,NAME,COUNTY,E_TOTPOP,RPL_THEMES
501,501,Alaska,Anchorage,6479,0.4045
502,502,Alaska,Anchorage,4975,0.3415
503,503,Alaska,Anchorage,5036,0.8193
504,504,Alaska,Anchorage,3584,0.8605
505,505,Alaska,Anchorage,3429,0.3581
506,506,Alaska,Anchorage,5261,0.6944
507,507,Alaska,Anchorage,3004,0.5112
508,508,Alaska,Anchorage,7307,0.2505
509,509,Alaska,Anchorage,5083,0.5362
510,510,Alaska,Anchorage,9356,0.5704
511,511,Alaska,Anchorage,2896,0.6371
512,512,Alaska,Anchorage,5089,0.3811
513,513,Alaska,Anchorage,5408,0.6872
514,514,Alaska,Anchorage,6169,0.3599
515,515,Alaska,Anchorage,5647,0.1216
516,516,Alaska,Anchorage,9988,0.3981
517,517,Alaska,Anchorage,9313,0.719
518,518,Alaska,Anchorage,6515,0.6584
519,519,Alaska,Anchorage,7910,0.1038
520,520,Alaska,Anchorage,5041,0.1043
521,521,Alaska,Anchorage,5384,0.0328
522,522,Alaska,Fairbanks North Star,4108,0.4258
523,523,Alaska,Fairbanks North Star,2750,0.7773
524,524,Alaska,Fairbanks North Star,4371,0.513
525,525,Alaska,Fairbanks North Star,5473,0.2891
526,526,Alaska,Fairbanks North Star,5983,0.1198
527,527,Alaska,Fairbanks North Star,7869,0.4661
528,528,Alaska,Fairbanks North Star,6870,0.2753
529,529,Alaska,Fairbanks North Star,11013,0.3284
530,530,Alaska,Fairbanks North Star,4755,0.3795
531,531,Alaska,Fairbanks North Star,1202,0.1039
532,532,Alaska,Haines,2518,0.4917
533,533,Alaska,Juneau City and Borough,7146,0.3978
534,534,Alaska,Juneau City and Borough,5925,0.4282
535,535,Alaska,Juneau City and Borough,6134,0.3737
536,536,Alaska,Kenai Peninsula,6583,0.5037
537,537,Alaska,Kenai Peninsula,7265,0.5072
538,538,Alaska,Kenai Peninsula,7687,0.7505
539,539,Alaska,Kenai Peninsula,10079,0.4504
540,540,Alaska,Kenai Peninsula,3759,0.4779
541,541,Alaska,Kenai Peninsula,2437,0.2516
542,542,Alaska,Kenai Peninsula,4455,0.6239
543,543,Alaska,Kenai Peninsula,3038,0.5559
544,544,Alaska,Ketchikan Gateway,3560,0.2692
545,545,Alaska,Ketchikan Gateway,4866,0.8391
546,546,Alaska,Ketchikan Gateway,2339,0.2723
547,547,Alaska,Matanuska-Susitna,1851,0.4297
548,548,Alaska,Matanuska-Susitna,7086,0.3807
549,549,Alaska,Matanuska-Susitna,2172,0.6186
550,550,Alaska,Matanuska-Susitna,2126,0.5224
551,551,Alaska,Matanuska-Susitna,1479,0.3283
552,552,Alaska,Matanuska-Susitna,5578,0.3161
553,553,Alaska,Matanuska-Susitna,7671,0.4299
554,554,Alaska,Matanuska-Susitna,3250,0.3894
555,555,Alaska,Matanuska-Susitna,3750,0.4047
556,556,Alaska,Matanuska-Susitna,4626,0.4132
557,557,Alaska,Matanuska-Susitna,6515,0.4642
558,558,Alaska,Matanuska-Susitna,5917,0.8638
559,559,Alaska,Matanuska-Susitna,3161,0.7553
560,560,Alaska,Matanuska-Susitna,3824,0.3476
561,561,Alaska,Matanuska-Susitna,4377,0.4606
562,562,Alaska,Matanuska-Susitna,5560,0.3856
563,563,Alaska,Matanuska-Susitna,7003,0.2517
564,564,Alaska,Matanuska-Susitna,5667,0.5787
565,565,Alaska,Matanuska-Susitna,6562,0.404
566,566,Alaska,Petersburg,3255,0.7503
567,567,Alaska,Prince of Wales-Hyder,2284,0.7949
568,568,Alaska,Prince of Wales-Hyder,1635,0.8632
569,569,Alaska,Sitka City and Borough,3331,0.3982
570,570,Alaska,Sitka City and Borough,5407,0.664
571,571,Alaska,Valdez-Cordova,1929,0.7251
572,572,Alaska,Valdez-Cordova,3059,0.2864
573,573,Alaska,Valdez-Cordova,4313,0.5133
574,574,Alaska,Wrangell City and Borough,2484,0.7118
575,575,Arizona,Apache,5147,0.7283
576,576,Arizona,Apache,3965,0.6064
577,577,Arizona,Cochise,4022,0.9354
578,578,Arizona,Cochise,2295,0.9955
579,579,Arizona,Cochise,3186,0.8209
580,580,Arizona,Cochise,3641,0.966
581,581,Arizona,Cochise,3862,0.6002
582,582,Arizona,Cochise,3487,0.7471
583,583,Arizona,Cochise,4326,0.5312
584,584,Arizona,Cochise,6932,0.1938
585,585,Arizona,Coconino,3850,0.5089
586,586,Arizona,Coconino,6438,0.8709
587,587,Arizona,Coconino,5414,0.4345
588,588,Arizona,Coconino,3706,0.3295
589,589,Arizona,Coconino,6959,0.2604
590,590,Arizona,Coconino,8339,0.579
591,591,Arizona,Coconino,5193,0.3045
592,592,Arizona,Coconino,2903,0.2827
593,593,Arizona,Coconino,3180,0.2706
594,594,Arizona,Coconino,3475,0.7286
595,595,Arizona,Coconino,6735,0.2596
596,596,Arizona,Gila,2487,0.1422
597,597,Arizona,Gila,2341,0.2592
598,598,Arizona,Gila,6162,0.5565
599,599,Arizona,Gila,2872,0.5395
600,600,Arizona,Gila,4175,0.2981
601,601,Arizona,Gila,3673,0.6591
602,602,Arizona,Graham,5302,0.7548
603,603,Arizona,Greenlee,3799,0.4815
604,604,Arizona,La Paz,3121,0.825
605,605,Arizona,Maricopa,4783,0.0528
606,606,Arizona,Maricopa,5066,0.0622
607,607,Arizona,Maricopa,5006,0.0686
608,608,Arizona,Maricopa,4445,0.2556
609,609,Arizona,Maricopa,5167,0.5847
610,610,Arizona,Maricopa,3108,0.106
611,611,Arizona,Maricopa,3139,0.0974
